자치구,사고년도,00시-02시,02시-04시,04시-06시,06시-08시,08시-10시,10시-12시,12시-14시,14시-16시,16시-18시,18시-20시,20시-22시,22시-24시
영등포구,2018년,38,26,23,31,52,48,49,52,61,59,55,65
영등포구,2019년,35,12,12,23,68,43,68,64,60,70,56,45
영등포구,2020년,20,10,10,21,35,39,35,40,31,44,43,41
영등포구,2021년,3,1,5,17,30,36,42,38,41,46,45,30
용산구,2017년,17,14,10,15,20,26,27,34,37,31,28,27
용산구,2018년,14,17,21,21,32,26,19,26,27,35,26,30
용산구,2019년,22,14,24,10,16,15,34,28,17,34,23,22
용산구,2020년,10,3,5,5,16,23,9,19,20,13,22,10
용산구,2021년,2,3,3,7,16,15,18,19,23,27,18,21
은평구,2017년,27,12,11,22,41,26,34,57,50,45,40,48
은평구,2018년,24,12,11,23,37,34,37,43,52,30,34,30
은평구,2019년,16,8,9,21,37,33,35,43,42,42,47,27
은평구,2020년,14,7,11,13,18,24,41,25,28,40,28,25
은평구,2021년,10,4,6,17,17,15,38,28,40,34,22,19
종로구,2017년,22,14,15,14,28,29,45,39,29,36,24,36
종로구,2018년,24,8,9,15,29,36,38,22,32,43,36,43
종로구,2019년,19,10,6,15,21,31,32,45,28,45,22,29
종로구,2020년,8,3,5,7,15,28,28,29,36,31,18,14
종로구,2021년,6,1,2,10,15,16,28,24,20,23,15,18
중구,2017년,23,10,10,11,34,26,32,32,31,42,33,31
중구,2018년,22,17,11,12,20,32,35,33,20,30,33,25
중구,2019년,19,9,13,9,27,26,36,40,29,20,29,26
중구,2020년,13,3,10,11,20,23,30,23,24,25,37,20
중구,2021년,5,10,4,4,14,12,26,17,19,24,17,18
중랑구,2017년,27,10,17,25,39,35,33,45,46,64,47,40
중랑구,2018년,19,7,27,18,33,32,35,56,50,64,48,40
중랑구,2019년,29,10,24,16,43,41,48,44,54,67,55,37
중랑구,2020년,14,11,9,18,37,32,31,38,46,46,39,31
중랑구,2021년,9,2,8,14,28,32,41,41,43,44,35,31
